"filename", "language", "TypeScript", "Handlebars", "comment", "blank", "total"
"c:\Users\Fernando\Documents\Codes\RocketSeat-Nivel-2\back-end-nivel2\src\@types\express.d.ts", "TypeScript", 7, 0, 1, 1, 9
"c:\Users\Fernando\Documents\Codes\RocketSeat-Nivel-2\back-end-nivel2\src\config\auth.ts", "TypeScript", 6, 0, 0, 1, 7
"c:\Users\Fernando\Documents\Codes\RocketSeat-Nivel-2\back-end-nivel2\src\config\upload.ts", "TypeScript", 16, 0, 0, 5, 21
"c:\Users\Fernando\Documents\Codes\RocketSeat-Nivel-2\back-end-nivel2\src\modules\appointments\dtos\ICreateAppointmentDTO.ts", "TypeScript", 4, 0, 1, 1, 6
"c:\Users\Fernando\Documents\Codes\RocketSeat-Nivel-2\back-end-nivel2\src\modules\appointments\dtos\IFindByDayAndProviderDTO.ts", "TypeScript", 6, 0, 1, 1, 8
"c:\Users\Fernando\Documents\Codes\RocketSeat-Nivel-2\back-end-nivel2\src\modules\appointments\dtos\IFindByMonthAndProviderDTO.ts", "TypeScript", 5, 0, 1, 1, 7
"c:\Users\Fernando\Documents\Codes\RocketSeat-Nivel-2\back-end-nivel2\src\modules\appointments\infra\http\controller\AppointmentsController.ts", "TypeScript", 16, 0, 1, 7, 24
"c:\Users\Fernando\Documents\Codes\RocketSeat-Nivel-2\back-end-nivel2\src\modules\appointments\infra\http\controller\ProvidersController.ts", "TypeScript", 13, 0, 1, 6, 20
"c:\Users\Fernando\Documents\Codes\RocketSeat-Nivel-2\back-end-nivel2\src\modules\appointments\infra\http\routes\appointments.routes.ts", "TypeScript", 8, 0, 1, 6, 15
"c:\Users\Fernando\Documents\Codes\RocketSeat-Nivel-2\back-end-nivel2\src\modules\appointments\infra\http\routes\providers.routes.ts", "TypeScript", 8, 0, 1, 6, 15
"c:\Users\Fernando\Documents\Codes\RocketSeat-Nivel-2\back-end-nivel2\src\modules\appointments\infra\typeorm\entities\Appointment.ts", "TypeScript", 27, 0, 1, 9, 37
"c:\Users\Fernando\Documents\Codes\RocketSeat-Nivel-2\back-end-nivel2\src\modules\appointments\infra\typeorm\repositories\AppointmentsRepository.ts", "TypeScript", 63, 0, 2, 17, 82
"c:\Users\Fernando\Documents\Codes\RocketSeat-Nivel-2\back-end-nivel2\src\modules\appointments\repositories\fakes\FakeAppointmentsRepository.ts", "TypeScript", 54, 0, 1, 15, 70
"c:\Users\Fernando\Documents\Codes\RocketSeat-Nivel-2\back-end-nivel2\src\modules\appointments\repositories\iAppointmentsRepository.ts", "TypeScript", 12, 0, 1, 2, 15
"c:\Users\Fernando\Documents\Codes\RocketSeat-Nivel-2\back-end-nivel2\src\modules\appointments\services\CreateAppointmentService.spec.ts", "TypeScript", 32, 0, 0, 9, 41
"c:\Users\Fernando\Documents\Codes\RocketSeat-Nivel-2\back-end-nivel2\src\modules\appointments\services\CreateAppointmentService.ts", "TypeScript", 34, 0, 2, 11, 47
"c:\Users\Fernando\Documents\Codes\RocketSeat-Nivel-2\back-end-nivel2\src\modules\appointments\services\ListProviderDayAvailabilityService.spec.ts", "TypeScript", 44, 0, 1, 10, 55
